azon;nev;hossz;melyseg;telepules;vedettseg
103;Kevély-nyergi-rókalyuk;100;6;Pilisborosjenõ;megkülönböztetetten védett
104;Kincses-gödör;407;17;Tapolca;védett
105;Király Lajos-zsomboly;365;38;Miskolc III.Kerület;megkülönböztetetten védett
106;Király-kúti-zsomboly;138;39;Miskolc III.Kerület;fokozottan védett
107;Királylaki-barlang;380;34;Budapest III. Ker.;megkülönböztetetten védett
108;Kis-kõháti-zsomboly;480;117;Nagyvisnyó;fokozottan védett
109;Kis-mogyorós-víznyelõbarlang;150;53;Miskolc III.Kerület;megkülönböztetetten védett
110;Klotild-barlang;142;12;Pilisvörösvár;megkülönböztetetten védett
111;Kopaszgally-oldali 2. sz. víznyelõbarlang;431;116;Bódvaszilas;fokozottan védett
112;Kopasz-vigasz-barlang;220;37;Bódvaszilas;fokozottan védett
113;Kopolya-forrásbarlang;110;11;Szinpetri;megkülönböztetetten védett
114;Kopolya-zsomboly;206;42;Szin;megkülönböztetetten védett
115;Kossuth-barlang;1467;30;Jósvafõ;fokozottan védett
116;Kõháti-barlang;142;20;Bükkzsérc;megkülönböztetetten védett
117;Kõ-lyuk;623;19;Parasznya;fokozottan védett
118;Kõlyuk-galyai-barlang;142;12;Kisgyõr;megkülönböztetetten védett
